date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:14:07	1474/1474	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2009%20Apr%202024%2003:44:08%20GMT	https://maha-cv-resume-bootstrap.vercel.app/robots.txt		(from )
09:14:07	19531/19531	---MCZ	200	added ('OK')	text/html	etag:W/%222ecfa2b63b318982fcd4007376a13d96%22	https://maha-cv-resume-bootstrap.vercel.app/	D:/p6/maha-cv-resume-bootstrap.vercel.app/index.html	(from )
09:14:08	121205/121205	---MCZ	200	added ('OK')	text/css	etag:W/%225057f321f0dc85cd8da94a0c5f67a8f4%22	https://maha-cv-resume-bootstrap.vercel.app/css/bootstrap.min.css	D:/p6/maha-cv-resume-bootstrap.vercel.app/css/bootstrap.min.css	(from https://maha-cv-resume-bootstrap.vercel.app/)
09:14:08	31004/31004	---MCZ	200	added ('OK')	text/css	etag:W/%22a0e784c4ca94c271b0338dfb02055be6%22	https://maha-cv-resume-bootstrap.vercel.app/css/font-awesome.min.css	D:/p6/maha-cv-resume-bootstrap.vercel.app/css/font-awesome.min.css	(from https://maha-cv-resume-bootstrap.vercel.app/)
09:14:08	3356/3356	---MCZ	200	added ('OK')	text/css	etag:W/%22b9755c9c2613c455154caf065bd1a94d%22	https://maha-cv-resume-bootstrap.vercel.app/css/owl.carousel.min.css	D:/p6/maha-cv-resume-bootstrap.vercel.app/css/owl.carousel.min.css	(from https://maha-cv-resume-bootstrap.vercel.app/)
09:14:08	17419/17419	---MCZ	200	added ('OK')	text/css	etag:W/%2241a6f099f6a50fda7dd5a149abd10e1e%22	https://maha-cv-resume-bootstrap.vercel.app/css/style.css	D:/p6/maha-cv-resume-bootstrap.vercel.app/css/style.css	(from https://maha-cv-resume-bootstrap.vercel.app/)
09:14:08	1934/1934	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225433f1c11e9291e777a894f7d9f674f4%22	https://maha-cv-resume-bootstrap.vercel.app/images/header-shape-1.svg	D:/p6/maha-cv-resume-bootstrap.vercel.app/images/header-shape-1.svg	(from https://maha-cv-resume-bootstrap.vercel.app/)
09:14:09	1661/1661	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22eac95399db0fe45a08ef0ed27b3cefd2%22	https://maha-cv-resume-bootstrap.vercel.app/images/header-shape-round.svg	D:/p6/maha-cv-resume-bootstrap.vercel.app/images/header-shape-round.svg	(from https://maha-cv-resume-bootstrap.vercel.app/)
09:14:09	642/642	---M--	200	added ('OK')	image/svg+xml	etag:%2263548946d2a4641fb85c95dd4b333032%22	https://maha-cv-resume-bootstrap.vercel.app/images/oval.svg	D:/p6/maha-cv-resume-bootstrap.vercel.app/images/oval.svg	(from https://maha-cv-resume-bootstrap.vercel.app/)
09:14:09	700/700	---M--	200	added ('OK')	image/svg+xml	etag:%225d2a642c3f1d082f44ac00046e8e3f40%22	https://maha-cv-resume-bootstrap.vercel.app/images/triangle.svg	D:/p6/maha-cv-resume-bootstrap.vercel.app/images/triangle.svg	(from https://maha-cv-resume-bootstrap.vercel.app/)
09:14:09	666/666	---M--	200	added ('OK')	image/svg+xml	etag:%22cb2ee266927ee575a99a3db1c0c98f92%22	https://maha-cv-resume-bootstrap.vercel.app/images/rectangle.svg	D:/p6/maha-cv-resume-bootstrap.vercel.app/images/rectangle.svg	(from https://maha-cv-resume-bootstrap.vercel.app/)
09:14:10	59565/59565	---MCZ	200	added ('OK')	text/html	etag:W/%229037a8187b90c8807f18f48bbd8a7d65%22	https://maha-cv-resume-bootstrap.vercel.app/home-one.html	D:/p6/maha-cv-resume-bootstrap.vercel.app/home-one.html	(from https://maha-cv-resume-bootstrap.vercel.app/)
09:14:10	56489/56489	---M--	200	added ('OK')	image/png	etag:%22c044cbd9cc51d6d696bb92b9550fafd8%22	https://maha-cv-resume-bootstrap.vercel.app/images/style-1.png	D:/p6/maha-cv-resume-bootstrap.vercel.app/images/style-1.png	(from https://maha-cv-resume-bootstrap.vercel.app/)
09:14:10	73906/73906	---MCZ	200	added ('OK')	text/html	etag:W/%2230a67698b2fdc0dc00e822b83275eb47%22	https://maha-cv-resume-bootstrap.vercel.app/home-two.html	D:/p6/maha-cv-resume-bootstrap.vercel.app/home-two.html	(from https://maha-cv-resume-bootstrap.vercel.app/)
